Day,cases,deaths
1,1,0
2,1,0
3,1,0
4,2,0
5,3,0
6,5,0
7,5,0
8,5,0
9,5,0
10,6,0
11,7,0
12,8,0
13,11,0
14,11,0
15,11,0
16,12,0
17,12,0
18,12,0
19,12,0
20,12,0
21,13,0
22,13,0
23,14,0
24,15,0
25,15,0
26,15,0
27,15,0
28,25,0
29,25,0
30,25,0
31,27,0
32,30,0
33,30,0
34,30,0
35,43,0
36,45,0
37,60,0
38,60,0
39,65,0
40,70,1
41,88,3
42,104,6
43,125,10
44,161,12
45,228,12
46,311,15
47,428,19
48,547,22
49,748,26
50,1018,31
51,1263,37
52,1668,43
53,2224,50
54,2898,60
55,3600,68
56,4507,91
57,5906,117
58,8350,162
59,12393,212
60,18012,277
61,24528,360
62,33073,458
63,43505,579
64,53938,785
65,68572,1054
66,85570,1353
67,102900,1770
68,123966,2300
69,142486,2718
70,163955,3368
71,188461,4304
72,215391,5325
73,245108,6541
74,277426,7932
75,312525,9488
76,338141,10856
77,369057,12382
78,399394,14616
79,431214,16701
80,465913,18821
81,499386,21084
82,531106,23168
83,558249,24849
84,584018,26613
85,610709,29318
86,640742,32070
87,672355,34419
88,703864,36708
89,732262,38659
90,757596,40179
91,784926,42016
92,810434,44688
93,839266,47059
94,873039,49228
95,909778,51360
96,944186,53327
97,970921,54580
98,994110,56022
99,1018744,58416
100,1045298,60930
101,1075637,63140
102,1109601,64902
103,1139075,66485
104,1165215,67816
105,1187176,68905
106,1210881,71139
107,1235364,73847
108,1263839,75805
109,1291481,77380
110,1316349,78834
111,1336666,79766
112,1354284,80748
113,1376583,82400
114,1397724,84168
115,1424684,85906
116,1450907,87499
117,1474565,88724
118,1493578,89568
119,1515395,90414
120,1536355,91934
121,1559415,93411
122,1585147,94722
123,1608936,96010
124,1631205,97059
125,1651236,97679
126,1670336,98189
127,1689222,98936
128,1707961,100421
129,1730427,101621
130,1754974,102811
131,1778371,103774
132,1799005,104378
133,1820898,105112
134,1841679,106194
135,1861657,107183
136,1883270,108191
137,1911965,109303
138,1934475,110031
139,1953090,110421
140,1971289,111143
141,1990093,112173
142,2013246,113102
143,2036447,113979
144,2061939,114758
145,2087273,115450
146,2106403,115767
147,2126520,116215
148,2151403,116984
149,2177056,117745
150,2205115,118472
151,2235950,119170
152,2267975,119716
153,2294354,119973
154,2324819,120333
155,2359878,121166
156,2396858,121933
157,2438031,124399
158,2483559,125032
159,2525858,125543
160,2565364,125814
161,2604858,126161
162,2653243,127461
163,2703218,128103
164,2758775,128826
165,2815928,129417
166,2865933,129678
167,2910696,129940
168,2958011,130331
169,3012084,131289
170,3071536,132237
171,3131422,133078
172,3199646,133906
173,3260362,134581
174,3318167,134976
175,3379734,135401
176,3445331,136355
177,3513667,137326
178,3589349,138284
179,3660271,139185
180,3722719,139960
181,3784994,140372
182,3844882,140903
183,3910148,142030
184,3979885,143166
185,4049889,144282
186,4123413,145429
187,4190189,146312
188,4244406,146752
189,4303587,148448
190,4366697,149775
191,4433312,151170
192,4502423,152431
193,4570159,153858
194,4628303,154915
195,4677628,155333
196,4725045,155941
197,4778438,157296
198,4832159,158548
199,4889670,159623
200,4950653,160977
201,5005850,161942
202,5054208,162481
203,5101333,163018
204,5154648,164468
205,5208843,165946
206,5262791,167165
207,5322232,168335
208,5372971,169395
209,5415114,169909
210,5455136,170451
211,5498362,171800
212,5541294,173094
